x0,x1,x2,t
1.22566,-4.13391,27.902,0.346
1.17206,-4.12965,27.8224,0.347
1.11905,-4.12531,27.7433,0.348
1.0666,-4.1209,27.6646,0.349
1.01473,-4.11642,27.5863,0.35
0.963415,-4.11189,27.5085,0.351
0.912662,-4.1073,27.4311,0.352
0.862463,-4.10267,27.3541,0.353
0.812811,-4.09801,27.2775,0.354
0.763703,-4.09333,27.2014,0.355
0.715133,-4.08863,27.1256,0.356
0.667095,-4.08391,27.0503,0.357
0.619585,-4.0792,26.9753,0.358
0.572597,-4.07448,26.9008,0.359
0.526126,-4.06978,26.8266,0.36
0.480167,-4.06509,26.7528,0.361
0.434715,-4.06043,26.6795,0.362
0.389763,-4.05579,26.6065,0.363
0.345308,-4.05119,26.5338,0.364
0.301343,-4.04664,26.4616,0.365
0.257863,-4.04212,26.3897,0.366
0.214863,-4.03767,26.3182,0.367
0.172338,-4.03327,26.2471,0.368
0.130282,-4.02893,26.1763,0.369
0.0886897,-4.02467,26.1059,0.37
0.0475561,-4.02047,26.0358,0.371
0.00687579,-4.01636,25.9661,0.372
-0.0333566,-4.01233,25.8968,0.373
-0.0731463,-4.00839,25.8278,0.374
-0.112499,-4.00454,25.7591,0.375
-0.151419,-4.00079,25.6908,0.376
-0.189913,-3.99713,25.6228,0.377
-0.227985,-3.99359,25.5551,0.378
-0.265641,-3.99015,25.4878,0.379
-0.302886,-3.98683,25.4208,0.38
-0.339726,-3.98362,25.3541,0.381
-0.376165,-3.98054,25.2878,0.382
-0.412208,-3.97758,25.2218,0.383
-0.447862,-3.97475,25.1561,0.384
-0.483131,-3.97205,25.0907,0.385
-0.51802,-3.96948,25.0256,0.386
-0.552535,-3.96705,24.9608,0.387
-0.58668,-3.96476,24.8964,0.388
-0.620461,-3.96262,24.8322,0.389
-0.653882,-3.96062,24.7684,0.39
-0.68695,-3.95877,24.7049,0.391
-0.719668,-3.95708,24.6416,0.392
-0.752042,-3.95554,24.5787,0.393
-0.784077,-3.95416,24.516,0.394
-0.815778,-3.95293,24.4537,0.395
-0.847149,-3.95187,24.3916,0.396
-0.878196,-3.95098,24.3298,0.397
-0.908924,-3.95025,24.2683,0.398
-0.939338,-3.94969,24.2071,0.399
-0.969441,-3.94931,24.1462,0.4
-0.99924,-3.94909,24.0856,0.401
-1.02874,-3.94905,24.0252,0.402
-1.05794,-3.94919,23.9651,0.403
-1.08685,-3.94951,23.9053,0.404
-1.11548,-3.95001,23.8458,0.405
-1.14383,-3.9507,23.7865,0.406
-1.17189,-3.95157,23.7275,0.407
-1.19969,-3.95262,23.6688,0.408
-1.22722,-3.95387,23.6103,0.409
-1.25449,-3.9553,23.5522,0.41
-1.2815,-3.95692,23.4942,0.411
-1.30825,-3.95874,23.4366,0.412
-1.33475,-3.96075,23.3792,0.413
-1.36101,-3.96296,23.322,0.414
-1.38703,-3.96536,23.2652,0.415
-1.41282,-3.96797,23.2085,0.416
-1.43837,-3.97077,23.1522,0.417
-1.46369,-3.97377,23.0961,0.418
-1.48879,-3.97697,23.0402,0.419
-1.51368,-3.98038,22.9846,0.42
-1.53834,-3.98399,22.9293,0.421
-1.5628,-3.98781,22.8742,0.422
-1.58705,-3.99183,22.8194,0.423
-1.6111,-3.99606,22.7648,0.424
-1.63495,-4.0005,22.7104,0.425
-1.6586,-4.00515,22.6563,0.426
-1.68207,-4.01,22.6025,0.427
-1.70535,-4.01507,22.5489,0.428
-1.72844,-4.02035,22.4955,0.429
-1.75136,-4.02585,22.4424,0.43
-1.77411,-4.03156,22.3895,0.431
-1.79668,-4.03748,22.3369,0.432
-1.81909,-4.04362,22.2845,0.433
-1.84134,-4.04997,22.2324,0.434
-1.86342,-4.05654,22.1805,0.435
-1.88535,-4.06333,22.1288,0.436
-1.90713,-4.07033,22.0774,0.437
-1.92876,-4.07756,22.0262,0.438
-1.95025,-4.085,21.9753,0.439
-1.9716,-4.09267,21.9245,0.44
-1.99281,-4.10055,21.8741,0.441
-2.01389,-4.10866,21.8238,0.442
-2.03484,-4.11699,21.7738,0.443
-2.05566,-4.12554,21.7241,0.444
-2.07636,-4.13432,21.6746,0.445
-2.09694,-4.14332,21.6253,0.446
-2.1174,-4.15254,21.5762,0.447
-2.13775,-4.16199,21.5274,0.448
-2.15799,-4.17166,21.4788,0.449
-2.17813,-4.18157,21.4305,0.45
-2.19816,-4.19169,21.3824,0.451
-2.2181,-4.20205,21.3345,0.452
-2.23794,-4.21263,21.2869,0.453
-2.25769,-4.22344,21.2394,0.454
-2.27734,-4.23448,21.1923,0.455
-2.29692,-4.24575,21.1453,0.456
-2.3164,-4.25725,21.0986,0.457
-2.33581,-4.26898,21.0522,0.458
-2.35514,-4.28094,21.0059,0.459
-2.3744,-4.29313,20.9599,0.46
-2.39359,-4.30555,20.9141,0.461
